benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/002-sc2013.cnf.bz2, MapleLCMChronoBT_DEL, default, 1486.64, complete, SAT-VERIFIED, 0.010089, --
sat/002-sc2013.cnf.bz2, MapleLCMChronoBT_Scavel_EWMA, default, 5000.03, timeout (wallclock), UNKNOWN, 0.011643, --
sat/002-sc2013.cnf.bz2, MapleLCMChronoBT_ldcr, default, 5000.05, timeout (wallclock), UNKNOWN, 0.0113291, --
sat/002-sc2013.cnf.bz2, MapleLCMDISTChronoBT_Scavel_EWMA_08ALL, default, 1647.6, complete, SAT-VERIFIED, 0.0127661, --
sat/002-sc2013.cnf.bz2, MapleLCMDiscChronoBT-DL-v3, default, 5000.02, timeout (wallclock), UNKNOWN, 0.00970906, --
sat/002-sc2013.cnf.bz2, MapleLCMDistChronoBT-DL-v2.1, default, 5000.1, timeout (wallclock), UNKNOWN, 0.018335, --
sat/002-sc2013.cnf.bz2, MapleLCMDistChronoBT-DL-v2.2, default, 237.551, complete, SAT-VERIFIED, 0.0116401, --
sat/002-sc2013.cnf.bz2, MapleLCMDistChronoBTVariableReindexing, default, 14.4726, complete, SAT-INCORRECT, 0.0100749, --
sat/002-sc2013.cnf.bz2, MapleLCMdistCBTcoreFirst, default, 5000.03, timeout (wallclock), UNKNOWN, 0.0119291, --
sat/002-sc2013.cnf.bz2, Maple_CM_OnlineDel_19b, default, 5000.02, timeout (wallclock), UNKNOWN, 0.00986907, --
sat/002-sc2013.cnf.bz2, Maple_LCM_BTL, default, 5000.02, timeout (wallclock), UNKNOWN, 0.0116281, --
sat/002-sc2013.cnf.bz2, Maple_LCM_OnlineDel_19a, default, 5000.06, timeout (wallclock), UNKNOWN, 0.011799, --
sat/002-sc2013.cnf.bz2, Maple_LCM_Scavel_155, default, 601.437, complete, SAT-VERIFIED, 0.0126491, --
sat/002-sc2013.cnf.bz2, MergeSAT, simp_proof, 1411.47, complete, SAT-VERIFIED, 0.00969203, --
sat/002-sc2013.cnf.bz2, Minisat-v2.2.0-106-ge2dd095, simp_proof, 5000.1, timeout (wallclock), UNKNOWN, 0.014892, --
sat/002-sc2013.cnf.bz2, PADC_MapleLCMDistChronoBT, default, 5000.02, timeout (wallclock), UNKNOWN, 0.0160369, --
sat/002-sc2013.cnf.bz2, PADC_MapleLCMDistChronoBT, nbIncRedDB_5_CT_0, 5000.04, timeout (wallclock), UNKNOWN, 0.00965697, --
sat/002-sc2013.cnf.bz2, PADC_Maple_LCM_Dist, default, 5000.05, timeout (wallclock), UNKNOWN, 0.011473, --
sat/002-sc2013.cnf.bz2, PSIDS_MapleLCMDistChronoBT, default, 1292.38, complete, SAT-VERIFIED, 0.01056, --
sat/002-sc2013.cnf.bz2, Relaxed_LCMDistChronoBT, default, 2236.34, complete, SAT-VERIFIED, 0.010244, --
sat/002-sc2013.cnf.bz2, Relaxed_LCMDistChronoBT_Scavel, default, 1021.06, complete, SAT-VERIFIED, 0.00992004, --
