input;id_instance;method;k;size;percent;res3700re;time;cut;ite;cover
TF-42.tf;25;ptf;3;NA;NA;NA;3700;True;1;95
scp1000-8.txt;26;ptf;3;NA;NA;NA;3700;True;1;95
TF-11.tf;27;ptf;3;NA;NA;NA;3700;True;1;95
TF-33.tf;28;ptf;3;NA;NA;NA;3700;True;1;95
TF-56.tf;29;ptf;3;NA;NA;NA;3700;True;1;95
TF-36.tf;30;ptf;3;11;0.9533678756476683;13.0;36.91308903694153;True;68;95
TF-30.tf;31;ptf;3;NA;NA;NA;3700;True;1;95
TF-28.tf;32;ptf;3;11;0.9516407599309153;9.0;19.77037000656128;True;50;95
TF-38.tf;33;ptf;3;NA;NA;NA;3700;True;1;95
TF-64.tf;34;ptf;3;NA;NA;NA;3700;True;1;95
TF-31.tf;35;ptf;3;NA;NA;NA;3700;True;1;95
TF-88.tf;36;ptf;3;NA;NA;NA;3700;True;1;95
cire150-1.txt;37;ptf;3;27;0.9666666666666667;715.0;30.853451251983643;True;47;95
cire100-2.txt;38;ptf;3;21;0.95;544.0;6.753492832183838;True;26;95
TF-14.tf;39;ptf;3;NA;NA;NA;3700;True;1;95
TF-95.tf;40;ptf;3;NA;NA;NA;3700;True;1;95
TF-86.tf;41;ptf;3;NA;NA;NA;3700;True;1;95
TF-83.tf;42;ptf;3;NA;NA;NA;3700;True;1;95
TF-24.tf;43;ptf;3;13;0.9533678756476683;12.0;482.2682406902313;True;190;95
TF-4.tf;44;ptf;3;10;0.9516407599309153;7.0;12.871706008911133;True;37;95
rtf30-9.txt;45;ptf;3;10;1.0;0;0.2578728199005127;True;8;95
TF-74.tf;46;ptf;3;NA;NA;NA;3700;True;1;95
TF-80.tf;47;ptf;3;NA;NA;NA;3700;True;1;95
TF-44.tf;48;ptf;3;13;0.9515570934256056;8.0;270.4011130332947;True;163;95
TF-66.tf;49;ptf;3;NA;NA;NA;3700;True;1;95
TF-62.tf;50;ptf;3;17;0.9533678756476683;13.0;263.3296194076538;True;186;95
TF-97.tf;51;ptf;3;NA;NA;NA;3700;True;1;95
TF-13.tf;52;ptf;3;13;0.9516407599309153;12.0;282.7692606449127;True;209;95
scp1000-7.txt;53;ptf;3;66;0.95;155.0;478.09951639175415;True;195;95
scp1000-0.txt;54;ptf;3;71;0.95;160.0;13.361148834228516;True;22;95
scp1000-5.txt;55;ptf;3;66;0.95;184.0;34.295764446258545;True;34;95
rtf30-4.txt;56;ptf;3;7;1.0;0;0.23165488243103027;True;6;95
TF-59.tf;57;ptf;3;14;0.9516407599309153;12.0;148.51206016540527;True;126;95
TF-27.tf;58;ptf;3;11;0.9516407599309153;14.0;555.6481695175171;True;212;95
TF-23.tf;59;ptf;3;14;0.9516407599309153;9.0;547.0966138839722;True;246;95
TF-35.tf;60;ptf;3;NA;NA;NA;3700;True;1;95
scp1000-4.txt;61;ptf;3;61;0.95;142.0;15.239245891571045;True;24;95
TF-61.tf;62;ptf;3;NA;NA;NA;3700;True;1;95
scp1000-2.txt;63;ptf;3;66;0.95;157.0;15.97383427619934;True;18;95
TF-98.tf;64;ptf;3;15;0.9516407599309153;10.0;451.937833070755;True;224;95
TF-40.tf;65;ptf;3;NA;NA;NA;3700;True;1;95
TF-46.tf;66;ptf;3;13;0.9516407599309153;12.0;502.0075671672821;True;218;95
TF-58.tf;67;ptf;3;11;0.9516407599309153;12.0;27.163245916366577;True;48;95
cire150-5.txt;68;ptf;3;27;0.9666666666666667;585.0;43.036566972732544;True;52;95
cire150-6.txt;69;ptf;3;27;0.9666666666666667;787.0;35.37120175361633;True;45;95
TF-100.tf;70;ptf;3;10;0.9550173010380623;14.0;5.248056650161743;True;30;95
TF-87.tf;71;ptf;3;NA;NA;NA;3700;True;1;95
cire100-6.txt;72;ptf;3;21;0.95;645.0;5.287214517593384;True;23;95
TF-3.tf;73;ptf;3;14;0.9516407599309153;10.0;190.50556302070618;True;133;95
TF-73.tf;74;ptf;3;NA;NA;NA;3700;True;1;95
