family,instance,solver,time
6,si2_m4Dr2_m1296.05,Glasgow,0.136000
6,si2_m4Dr2_m1296.05,LAD,0.018000
6,si2_m4Dr2_m1296.05,VF2,0.033000
6,si2_m4Dr2_m1296.05,RI,0.000034
6,si2_m4Dr2_m1296.09,Glasgow,0.078000
6,si2_m4Dr2_m1296.09,LAD,0.725000
6,si2_m4Dr2_m1296.09,VF2,0.023000
6,si2_m4Dr2_m1296.09,RI,0.000011
6,si2_m4Dr2_m1296.02,Glasgow,0.218000
6,si2_m4Dr2_m1296.02,LAD,1.690000
6,si2_m4Dr2_m1296.02,VF2,0.035000
6,si2_m4Dr2_m1296.02,RI,0.000053
6,si2_m4Dr2_m1296.07,Glasgow,0.056000
6,si2_m4Dr2_m1296.07,LAD,0.480000
6,si2_m4Dr2_m1296.07,VF2,0.023000
6,si2_m4Dr2_m1296.07,RI,0.000000
6,si2_m4Dr2_m1296.00,Glasgow,0.050000
6,si2_m4Dr2_m1296.00,LAD,0.015000
6,si2_m4Dr2_m1296.00,VF2,0.023000
6,si2_m4Dr2_m1296.00,RI,0.000001
6,si2_m4Dr2_m1296.06,Glasgow,0.056000
6,si2_m4Dr2_m1296.06,LAD,2.227000
6,si2_m4Dr2_m1296.06,VF2,0.023000
6,si2_m4Dr2_m1296.06,RI,0.000763
6,si2_m4Dr2_m1296.08,Glasgow,0.062000
6,si2_m4Dr2_m1296.08,LAD,1.014000
6,si2_m4Dr2_m1296.08,VF2,0.041000
6,si2_m4Dr2_m1296.08,RI,0.000001
6,si2_m4Dr2_m1296.01,Glasgow,0.080000
6,si2_m4Dr2_m1296.01,LAD,2.507000
6,si2_m4Dr2_m1296.01,VF2,0.043000
6,si2_m4Dr2_m1296.01,RI,0.000140
6,si2_m4Dr2_m1296.03,Glasgow,0.053000
6,si2_m4Dr2_m1296.03,LAD,1.304000
6,si2_m4Dr2_m1296.03,VF2,0.043000
6,si2_m4Dr2_m1296.03,RI,0.000001
6,si2_m4Dr2_m1296.04,Glasgow,0.154000
6,si2_m4Dr2_m1296.04,LAD,0.049000
6,si2_m4Dr2_m1296.04,VF2,0.022000
6,si2_m4Dr2_m1296.04,RI,0.000010
4,si4_b06m_m800.08,Glasgow,0.128000
4,si4_b06m_m800.08,LAD,0.014000
4,si4_b06m_m800.08,VF2,0.010000
4,si4_b06m_m800.08,RI,0.000000
4,si4_b06m_m800.00,Glasgow,0.038000
4,si4_b06m_m800.00,LAD,0.022000
4,si4_b06m_m800.00,VF2,0.010000
4,si4_b06m_m800.00,RI,0.000004
4,si4_b06m_m800.06,Glasgow,0.046000
4,si4_b06m_m800.06,LAD,0.010000
4,si4_b06m_m800.06,VF2,0.019000
4,si4_b06m_m800.06,RI,0.000000
4,si4_b06m_m800.05,Glasgow,0.049000
4,si4_b06m_m800.05,LAD,0.020000
4,si4_b06m_m800.05,VF2,0.018000
4,si4_b06m_m800.05,RI,0.000000
4,si4_b06m_m800.04,Glasgow,0.039000
4,si4_b06m_m800.04,LAD,0.015000
4,si4_b06m_m800.04,VF2,0.016000
4,si4_b06m_m800.04,RI,0.000001
4,si4_b06m_m800.09,Glasgow,0.039000
4,si4_b06m_m800.09,LAD,0.026000
4,si4_b06m_m800.09,VF2,0.018000
4,si4_b06m_m800.09,RI,0.000000
4,si4_b06m_m800.01,Glasgow,0.055000
4,si4_b06m_m800.01,LAD,0.023000
4,si4_b06m_m800.01,VF2,0.018000
4,si4_b06m_m800.01,RI,0.000001
4,si4_b06m_m800.07,Glasgow,0.037000
4,si4_b06m_m800.07,LAD,0.024000
4,si4_b06m_m800.07,VF2,0.010000
4,si4_b06m_m800.07,RI,0.000001
4,si4_b06m_m800.03,Glasgow,0.036000
4,si4_b06m_m800.03,LAD,0.014000
4,si4_b06m_m800.03,VF2,0.010000
