input,experiment_ware,cpu_time,Checked answer,Wallclock time,Memory,Solver name,Solver version,timeout,success,user_success,missing,consistent_xp,consistent_input,error,family
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),2400.0,UNKNOWN TO,2500.41,15142500.0,Fun-sCOP,order+GlueMiniSat (2019-06-15),2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab2/Bibd-sc-21-06-02.xml,VBS,2400.0,UNKNOWN TO,2519.9,429296.0,cosoco,2,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,cosoco 2,2400.0,UNKNOWN MO,2302.07,15872436.0,cosoco,2,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,AbsCon 2019-07-23,2400.0,UNKNOWN TO,2514.41,10748324.0,AbsCon,2019-07-23,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,PicatSAT 2019-09-12,70.4055,SAT,70.4019,2070284.0,PicatSAT,2019-09-12,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,choco-solver 2019-09-24,2400.0,UNKNOWN TO,2514.41,15266336.0,choco-solver,2019-09-24,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,Concrete 3.10,2400.0,UNKNOWN TO,2454.73,10852280.0,Concrete,3.10,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,Concrete 3.12.3,2400.0,UNKNOWN TO,2467.63,10849744.0,Concrete,3.12.3,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,choco-solver 2019-09-20,1402.42,SAT,352.682,15530540.0,choco-solver,2019-09-20,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sum-lex/Bibd-sum-09-120-40-03-10.xml,choco-solver 2019-06-14,1795.65,SAT,451.412,15530532.0,choco-solver,2019-06-14,2400.0,True,True,False,True,True,False,Bibd
